Sample,plot,Block,site,row,split,treatment,unique,Seeding_Rate,Nitrogen,Weeds,Fungicide,nitrate,phosphorus,potassium,OM,Fusarium,Fus_cat,FusariumPresence,Cochliob,CochliobPresence,VisualRating,Percent_Damage
barcode01,P101,R1,Post Farm,10,hSnF,hShNnBnF,2,High,High,No Brome,No Fungicide,9,13,265,2,7,High,Fusarium,0,No Cochliob,3,75
barcode02,P102,R1,Post Farm,10,hSnF,hShNBnF,4,High,High,Brome,No Fungicide,15,17,182,2,3,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode03,P103,R1,Post Farm,10,hSnF,hSlNBnF,8,High,Low,Brome,No Fungicide,6,7,170,1.8,5,High,Fusarium,0,No Cochliob,2.5,62.5
barcode04,P104,R1,Post Farm,10,hSnF,hSlNnBnF,6,High,Low,No Brome,No Fungicide,3,6,182,2.1,0,None,No Fusarium,0,No Cochliob,2,50
barcode05,P105,R1,Post Farm,10,hSnF,hShNBnF,4,High,High,Brome,No Fungicide,6,9,208,2.1,1,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode06,P106,R1,Post Farm,10,lSnF,lSlNnBnF,14,Low,Low,No Brome,No Fungicide,6,5,162,1.6,0,None,No Fusarium,0,No Cochliob,1,25
barcode07,P107,R1,Post Farm,10,lSnF,lShNnBnF,10,Low,High,No Brome,No Fungicide,15,11,162,1.5,4,High,Fusarium,0,No Cochliob,3,75
barcode08,P108,R1,Post Farm,10,lSnF,lSlNBnF,16,Low,Low,Brome,No Fungicide,9,7,196,1.5,4,High,Fusarium,0,No Cochliob,1,25
barcode09,P109,R1,Post Farm,10,hSF,hSlNBF,7,High,Low,Brome,Fungicide,15,5,168,1.9,1,Low,Fusarium,0,No Cochliob,2,50
barcode10,P110,R1,Post Farm,10,hSF,hSlNnBF,5,High,Low,No Brome,Fungicide,9,6,190,2,6,High,Fusarium,0,No Cochliob,1,25
barcode11,P111,R1,Post Farm,10,hSF,hShNnBF,1,High,High,No Brome,Fungicide,9,5,177,1.5,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode12,P112,R1,Post Farm,10,hSF,hShNBF,3,High,High,Brome,Fungicide,6,7,172,2,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode13,P113,R1,Post Farm,10,lSF,lSlNBF,15,Low,Low,Brome,Fungicide,9,7,190,1.6,2,Low,Fusarium,0,No Cochliob,1,25
barcode14,P114,R1,Post Farm,10,lSF,lShNBF,11,Low,High,Brome,Fungicide,12,4,173,1.3,0,None,No Fusarium,0,No Cochliob,3,75
barcode15,P115,R1,Post Farm,10,lSF,lShNnBF,9,Low,High,No Brome,Fungicide,12,8,242,1.6,1,Low,Fusarium,0,No Cochliob,1,25
barcode16,P116,R1,Post Farm,10,lSF,lSlNnBF,13,Low,Low,No Brome,Fungicide,9,5,220,2.1,3,Low,Fusarium,0,No Cochliob,1,25
barcode17,P201,R2,Post Farm,11,lSF,lShNBF,11,Low,High,Brome,Fungicide,12,9,192,1.9,2,Low,Fusarium,0,No Cochliob,2,50
barcode18,P202,R2,Post Farm,11,lSF,lShNnBF,9,Low,High,No Brome,Fungicide,12,30,172,1.8,3,Low,Fusarium,0,No Cochliob,3,75
barcode19,P203,R2,Post Farm,11,lSF,lSlNnBF,13,Low,Low,No Brome,Fungicide,9,4,198,1.4,6,High,Fusarium,0,No Cochliob,1,25
barcode20,P204,R2,Post Farm,11,lSF,lSlNBF,15,Low,Low,Brome,Fungicide,9,5,190,1.5,1,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode21,P205,R2,Post Farm,11,hSF,hShNBF,3,High,High,Brome,Fungicide,3,6,180,2,1,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode22,P206,R2,Post Farm,11,hSF,hSlNnBF,5,High,Low,No Brome,Fungicide,3,6,192,1.9,4,High,Fusarium,0,No Cochliob,3,75
barcode23,P207,R2,Post Farm,11,hSF,hShNnBF,1,High,High,No Brome,Fungicide,12,6,190,1.5,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode24,P208,R2,Post Farm,11,hSF,hSlNBF,7,High,Low,Brome,Fungicide,3,7,218,3.3,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode25,P209,R2,Post Farm,11,lSnF,lShNnBnF,10,Low,High,No Brome,No Fungicide,9,5,144,1.8,2,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode26,P210,R2,Post Farm,11,lSnF,lSlNBnF,16,Low,Low,Brome,No Fungicide,9,6,168,2.1,2,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode27,P211,R2,Post Farm,11,lSnF,lShNBnF,12,Low,High,Brome,No Fungicide,12,7,196,2,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode28,P212,R2,Post Farm,11,lSnF,lSlNnBnF,14,Low,Low,No Brome,No Fungicide,9,6,176,2,4,High,Fusarium,0,No Cochliob,2,50
barcode29,P213,R2,Post Farm,11,hSnF,hShNnBnF,2,High,High,No Brome,No Fungicide,6,5,168,2,7,High,Fusarium,0,No Cochliob,1,25
barcode30,P214,R2,Post Farm,11,hSnF,hSlNBnF,8,High,Low,Brome,No Fungicide,3,5,138,1.9,7,High,Fusarium,0,No Cochliob,1,25
barcode31,P215,R2,Post Farm,11,hSnF,hShNBnF,4,High,High,Brome,No Fungicide,9,4,148,1.9,3,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode32,P216,R2,Post Farm,11,hSnF,hSlNnBnF,6,High,Low,No Brome,No Fungicide,6,6,192,2,0,None,No Fusarium,0,No Cochliob,1,25
barcode33,P301,R3,Post Farm,12,hSF,hShNBF,3,High,High,Brome,Fungicide,12,6,190,1.4,4,High,Fusarium,0,No Cochliob,2,50
barcode34,P302,R3,Post Farm,12,hSF,hSlNBF,7,High,Low,Brome,Fungicide,6,4,152,1.7,0,None,No Fusarium,0,No Cochliob,1,25
barcode35,P303,R3,Post Farm,12,hSF,hSlNnBF,5,High,Low,No Brome,Fungicide,3,4,198,1.9,1,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode36,P304,R3,Post Farm,12,hSF,hShNnBF,1,High,High,No Brome,Fungicide,6,5,180,1.4,6,High,Fusarium,0,No Cochliob,2,50
barcode37,P305,R3,Post Farm,12,hSnF,hShNnBnF,2,High,High,No Brome,No Fungicide,6,6,192,1.6,1,Low,Fusarium,0,No Cochliob,1,25
barcode38,P306,R3,Post Farm,12,hSnF,hSlNBnF,8,High,Low,Brome,No Fungicide,3,5,184,2,0,None,No Fusarium,0,No Cochliob,1,25
barcode39,P307,R3,Post Farm,12,hSnF,hShNBnF,4,High,High,Brome,No Fungicide,6,5,192,2.2,3,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode40,P308,R3,Post Farm,12,hSnF,hSlNnBnF,6,High,Low,No Brome,No Fungicide,3,5,168,1.8,2,Low,Fusarium,0,No Cochliob,1,25
barcode41,P309,R3,Post Farm,12,lSF,lSlNnBF,13,Low,Low,No Brome,Fungicide,6,5,186,1.5,4,High,Fusarium,0,No Cochliob,1,25
barcode42,P310,R3,Post Farm,12,lSF,lShNBF,11,Low,High,Brome,Fungicide,3,7,192,2.1,3,Low,Fusarium,0,No Cochliob,1.5,37.5
