Sample,plot,Block,site,Year,row,split,treatment,unique,Seeding_Rate,Nitrogen,Weeds,Fungicide,nitrate,phosphorus,potassium,OM,Fusarium,Fus_cat,FusariumPresence,Cochliob,CochliobPresence,VisualRating,Percent_Damage
barcode01,P101,R1,Huntley,2023,10,lSnF,hShNnBnF,2,Low,Low,Brome,No Fungicide,12,7,296,2.2,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode02,P102,R1,Huntley,2023,10,lSF,hShNBnF,4,Low,Low,Brome,Fungicide,9,5,261,2.5,2,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode03,P103,R1,Huntley,2023,10,hSnF,hSlNBnF,8,High,High,No Brome,No Fungicide,9,7,288,2.2,3,Low,Fusarium,0,No Cochliob,3,75
barcode04,P104,R1,Huntley,2023,10,hSF,hSlNnBnF,6,High,High,No Brome,Fungicide,18,10,302,2,5,High,Fusarium,0,No Cochliob,1.5,37.5
barcode05,P105,R1,Huntley,2023,10,lSnF,hShNBnF,4,Low,High,No Brome,No Fungicide,12,4,226,2.1,0,None,No Fusarium,0,No Cochliob,2,50
barcode06,P106,R1,Huntley,2023,10,lSF,lSlNnBnF,14,Low,High,No Brome,Fungicide,9,5,233,2.2,3,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode07,P107,R1,Huntley,2023,10,hSnF,lShNnBnF,10,High,Low,Brome,No Fungicide,9,6,245,1.9,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode08,P108,R1,Huntley,2023,10,hSF,lSlNBnF,16,High,Low,Brome,Fungicide,12,10,299,2.3,2,Low,Fusarium,0,No Cochliob,2,50
barcode09,P109,R1,Huntley,2023,10,lSnF,hSlNBF,7,Low,Low,No Brome,No Fungicide,9,3,213,2.1,2,Low,Fusarium,0,No Cochliob,2,50
barcode10,P110,R1,Huntley,2023,10,lSF,hSlNnBF,5,Low,Low,No Brome,Fungicide,6,3,162,1.9,2,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode11,P111,R1,Huntley,2023,10,hSnF,hShNnBF,1,High,High,Brome,No Fungicide,15,6,232,1.9,2,Low,Fusarium,0,No Cochliob,2,50
barcode12,P112,R1,Huntley,2023,10,hSF,hShNBF,3,High,High,Brome,Fungicide,12,9,286,2.3,1,Low,Fusarium,1,Cochliob,1.5,37.5
